,id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,price_clean
id,1.0,0.3604949832914662,,-0.0442926092425472,-0.05790618729538388,-0.02826633346110746,0.1380459542592824,0.012793893569377613,-0.4875304467550357,-0.11281922818890584,-0.06476996457510452,0.056509633596332064,-0.128518641566911,,0.1380459542592824
host_id,0.3604949832914662,1.0,,-0.07177730947945891,-0.07902081856910595,-0.015546030225201875,0.1055363847597763,-0.05212547751266577,-0.23665770485440898,-0.0573560234751991,0.03178928304379791,0.09796695753811137,-0.058372997028759664,,0.1055363847597763
neighbourhood_group,,,,,,,,,,,,,,,
neighbourhood,-0.0442926092425472,-0.07177730947945891,,1.0,0.7006907486027157,-0.003983924648771949,-0.04768181190973248,0.05060302789389169,0.07209142831986855,0.056981939709166075,0.024430397553290153,-0.05044262387196827,0.029584712007960683,,-0.04768181190973248
latitude,-0.05790618729538388,-0.07902081856910595,,0.7006907486027157,1.0,-0.19070527683741811,-0.029642753937952803,0.04378409314608428,0.06153472271222806,0.036523017018684725,0.02941638429120081,-0.0057325860414239324,0.025490566822963287,,-0.029642753937952803
longitude,-0.02826633346110746,-0.015546030225201875,,-0.003983924648771949,-0.19070527683741811,1.0,0.023581352325863093,-0.015167490830188028,0.0036594720290332038,-0.0540259466545879,0.0951526991886412,0.03367140094587857,-0.04832510971690146,,0.023581352325863093
price,0.1380459542592824,0.1055363847597763,,-0.04768181190973248,-0.029642753937952803,0.023581352325863093,1.0,-0.04489153945200616,-0.15217933638300618,-0.13098431062562713,0.06518453279138212,0.07396141734472286,-0.09843654392072641,,1.0
minimum_nights,0.012793893569377613,-0.05212547751266577,,0.05060302789389169,0.04378409314608428,-0.015167490830188028,-0.04489153945200616,1.0,-0.08396902865199775,-0.1320887874793123,-0.06129858428568533,0.0034360098591183093,-0.1612322530816021,,-0.044891539452006184
number_of_reviews,-0.4875304467550357,-0.23665770485440898,,0.07209142831986855,0.06153472271222806,0.0036594720290332038,-0.15217933638300618,-0.08396902865199775,1.0,0.7530836695542427,-0.09542890782204361,-0.014755978404073344,0.6313325268236893,,-0.15217933638300618
reviews_per_month,-0.11281922818890584,-0.0573560234751991,,0.056981939709166075,0.036523017018684725,-0.0540259466545879,-0.13098431062562713,-0.1320887874793123,0.7530836695542427,1.0,-0.13531652832168073,0.03691844306514457,0.8535600856610519,,-0.13098431062562713
calculated_host_listings_count,-0.06476996457510452,0.03178928304379791,,0.024430397553290153,0.02941638429120081,0.0951526991886412,0.06518453279138212,-0.06129858428568533,-0.09542890782204361,-0.13531652832168073,1.0,0.21478906356670002,-0.08571758061912348,,0.06518453279138209
availability_365,0.056509633596332064,0.09796695753811137,,-0.05044262387196827,-0.0057325860414239324,0.03367140094587857,0.07396141734472286,0.0034360098591183093,-0.014755978404073344,0.03691844306514457,0.21478906356670002,1.0,0.0868995563179098,,0.07396141734472286
number_of_reviews_ltm,-0.128518641566911,-0.058372997028759664,,0.029584712007960683,0.025490566822963287,-0.04832510971690146,-0.09843654392072641,-0.1612322530816021,0.6313325268236893,0.8535600856610519,-0.08571758061912348,0.0868995563179098,1.0,,-0.09843654392072637
license,,,,,,,,,,,,,,,
price_clean,0.1380459542592824,0.1055363847597763,,-0.04768181190973248,-0.029642753937952803,0.023581352325863093,1.0,-0.044891539452006184,-0.15217933638300618,-0.13098431062562713,0.06518453279138209,0.07396141734472286,-0.09843654392072637,,1.0
