,id,host_id,neighbourhood_group,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_clean
id,1.0,0.38562490585436365,,-0.04429458967197348,0.03537217091403315,0.010560805650624824,0.06051871074069497,-0.5580056565495143,-0.016777369775067486,0.1362867624251582,0.1649739077253019,-0.2086394617207201,0.010560805650624824
host_id,0.38562490585436365,1.0,,-0.04754941296844678,0.03296415854574442,0.07722111935772466,-0.02243810980752844,-0.24671840328981942,-0.0030734148903531805,0.06619835738733147,0.1111372311966708,-0.1043710557017722,0.07722111935772466
neighbourhood_group,,,,,,,,,,,,,
latitude,-0.04429458967197348,-0.04754941296844678,,1.0,-0.1988145529023584,-0.025007845131857154,0.04203851757404526,-0.00036326195107723637,-0.02457656818763491,-0.06506807833056084,-0.05735926408734229,-0.0033887280443423854,-0.025007845131857154
longitude,0.03537217091403315,0.03296415854574442,,-0.1988145529023584,1.0,-0.017720085466589167,0.029345852387725795,-0.08927460272106776,-0.13107663565183234,-0.05832770755483387,0.0011267805065929204,-0.12826008909037562,-0.017720085466589167
price,0.010560805650624824,0.07722111935772466,,-0.025007845131857154,-0.017720085466589167,1.0,-0.04443688939223012,-0.036313189693386226,-0.04082297875359759,0.023545433607455975,0.022995912059082864,-0.045710684099688884,1.0
minimum_nights,0.06051871074069497,-0.02243810980752844,,0.04203851757404526,0.029345852387725795,-0.04443688939223012,1.0,-0.25144407688234766,-0.37836865542372083,0.0892376316161139,0.03811376498271122,-0.3747003079268991,-0.044436889392230124
number_of_reviews,-0.5580056565495143,-0.24671840328981942,,-0.00036326195107723637,-0.08927460272106776,-0.036313189693386226,-0.25144407688234766,1.0,0.6073811212316834,-0.062446841994663625,-0.03717828963376381,0.6812657440778166,-0.03631318969338622
reviews_per_month,-0.016777369775067486,-0.0030734148903531805,,-0.02457656818763491,-0.13107663565183234,-0.04082297875359759,-0.37836865542372083,0.6073811212316834,1.0,-0.0549387926727945,0.036963107739592015,0.8521854781117157,-0.04082297875359759
calculated_host_listings_count,0.1362867624251582,0.06619835738733147,,-0.06506807833056084,-0.05832770755483387,0.023545433607455975,0.0892376316161139,-0.062446841994663625,-0.0549387926727945,1.0,0.09132382475824903,-0.02002832687289402,0.023545433607455975
availability_365,0.1649739077253019,0.1111372311966708,,-0.05735926408734229,0.0011267805065929204,0.022995912059082864,0.03811376498271122,-0.03717828963376381,0.036963107739592015,0.09132382475824903,1.0,0.031689344953882446,0.022995912059082864
number_of_reviews_ltm,-0.2086394617207201,-0.1043710557017722,,-0.0033887280443423854,-0.12826008909037562,-0.045710684099688884,-0.3747003079268991,0.6812657440778166,0.8521854781117157,-0.02002832687289402,0.031689344953882446,1.0,-0.045710684099688884
price_clean,0.010560805650624824,0.07722111935772466,,-0.025007845131857154,-0.017720085466589167,1.0,-0.044436889392230124,-0.03631318969338622,-0.04082297875359759,0.023545433607455975,0.022995912059082864,-0.045710684099688884,1.0
