city,id_count,price_clean_mean,price_clean_median,price_clean_std,price_clean_min,price_clean_max,number_of_reviews_mean,number_of_reviews_median,number_of_reviews_std,reviews_per_month_mean,reviews_per_month_median,availability_365_mean,availability_365_median,minimum_nights_mean,minimum_nights_median,calculated_host_listings_count_mean,calculated_host_listings_count_median
Albany,461,119.88,94.0,119.96,24.0,1314.0,60.44,20.0,111.35,2.01,1.4,239.75,272.0,7.1,2.0,7.09,4.0
Asheville,2876,181.26,128.0,222.1,18.0,6846.0,110.76,53.0,154.43,2.17,1.62,224.54,254.0,5.91,2.0,9.07,2.0
Austin,15187,386.47,138.0,2620.2,9.0,50000.0,44.18,10.0,91.26,1.46,0.9,174.44,177.0,7.89,2.0,9.72,2.0
Bozeman,580,197.16,163.0,135.5,42.0,1447.0,81.39,38.0,123.08,1.96,1.43,223.39,262.0,10.72,2.0,7.54,2.0
Cambridge,1358,1186.09,204.0,6211.42,29.0,50031.0,56.58,10.0,114.08,1.53,0.85,181.23,194.5,21.88,20.0,38.87,8.0
Chicago,8604,577.54,169.0,3879.02,13.0,50328.0,53.96,14.0,93.66,1.9,1.54,220.58,250.0,13.75,2.0,52.51,4.0
Columbus,2877,327.46,108.0,2968.65,23.0,50028.0,61.87,21.0,102.54,2.14,1.63,235.84,268.0,9.84,2.0,13.87,6.0
Dallas,5723,386.7,110.0,3088.2,11.0,50000.0,42.24,13.0,83.73,2.03,1.44,253.24,299.0,8.22,2.0,13.55,4.0
Denver,4910,163.23,123.0,167.57,8.0,5000.0,71.72,23.0,123.46,1.87,1.28,211.77,242.0,17.22,4.0,6.18,1.0
Hawaii,33457,945.49,233.0,4571.5,9.0,50123.0,42.12,10.0,78.85,1.13,0.65,229.68,252.0,7.3,2.0,91.81,25.0
Jersey_City,1829,179.46,140.0,201.82,30.0,4095.0,40.6,13.0,67.82,1.73,1.38,221.76,248.0,20.28,28.0,9.9,3.0
Los_Angeles,45886,341.99,155.0,1794.94,8.0,85000.0,38.08,5.0,84.9,1.38,0.72,212.59,252.0,18.94,30.0,21.92,3.0
Nashville,9443,223.4,158.0,735.23,0.0,50000.0,83.12,33.0,137.52,2.21,1.77,249.82,300.0,6.23,2.0,28.22,6.0
New_Orleans,7444,488.05,132.0,3533.46,15.0,50134.0,65.72,22.0,103.7,1.56,1.16,218.11,256.0,16.74,3.0,15.13,3.0
New_York,36111,680.53,154.0,4480.45,10.0,50104.0,27.32,3.0,70.31,0.82,0.25,162.19,150.0,28.61,30.0,67.46,2.0
Oakland,2250,229.83,110.0,1816.03,18.0,40000.0,57.01,15.0,102.35,1.29,0.77,197.75,209.5,10.57,3.0,3.14,1.0
Oregon,4425,526.36,110.0,4027.6,17.0,50000.0,109.52,36.0,169.58,2.14,1.5,214.26,244.0,14.03,2.0,5.53,1.0
Paris,81853,,,,,,27.23,7.0,61.91,1.03,0.56,127.25,74.0,44.05,3.0,23.15,1.0
Rhode_Island,5762,869.7,274.0,4681.29,29.0,50000.0,49.74,17.0,85.6,1.45,0.95,180.53,173.0,7.69,2.0,15.96,3.0
San_Francisco,7780,378.92,170.0,2440.02,29.0,50000.0,52.7,7.0,113.27,1.25,0.47,189.69,214.0,19.86,3.0,23.4,3.0
Seattle,6996,571.72,149.0,4137.41,15.0,50039.0,82.31,32.0,126.64,2.23,1.84,207.71,234.0,10.99,2.0,28.84,2.0
Washington_DC,6423,392.26,135.0,3126.67,10.0,50000.0,68.63,21.0,111.62,2.05,1.55,216.01,244.0,13.0,2.0,26.39,3.0
