city,Entire home/apt,Hotel room,Private room,Shared room
Albany,347,1,113,0
Asheville,2571,12,285,8
Austin,12326,172,2604,85
Bozeman,520,10,49,1
Cambridge,746,29,582,1
Chicago,6529,119,1900,56
Columbus,2375,0,498,4
Dallas,4992,50,653,28
Denver,4164,24,673,49
Hawaii,30551,234,2639,33
Jersey_City,1204,9,614,2
Los_Angeles,33550,325,11624,387
Nashville,8514,70,856,3
New_Orleans,6305,184,948,7
New_York,19167,351,16350,243
Oakland,1735,11,479,25
Oregon,3733,67,622,3
Paris,72297,664,8727,165
Rhode_Island,4715,78,967,2
San_Francisco,4677,240,2829,34
Seattle,5745,51,1175,25
Washington_DC,4951,94,1349,29
