,id,price_clean,price_clean,price_clean,number_of_reviews,number_of_reviews,availability_365
,count,mean,median,std,mean,median,mean
city,,,,,,,
Albany,461,119.88,94.0,119.96,60.44,20.0,239.75
Asheville,2876,181.26,128.0,222.1,110.76,53.0,224.54
Austin,15187,386.47,138.0,2620.2,44.18,10.0,174.44
Bozeman,580,197.16,163.0,135.5,81.39,38.0,223.39
Cambridge,1358,1186.09,204.0,6211.42,56.58,10.0,181.23
Chicago,8604,577.54,169.0,3879.02,53.96,14.0,220.58
Columbus,2877,327.46,108.0,2968.65,61.87,21.0,235.84
Dallas,5723,386.7,110.0,3088.2,42.24,13.0,253.24
Denver,4910,163.23,123.0,167.57,71.72,23.0,211.77
Hawaii,33457,945.49,233.0,4571.5,42.12,10.0,229.68
Jersey_City,1829,179.46,140.0,201.82,40.6,13.0,221.76
Los_Angeles,45886,341.99,155.0,1794.94,38.08,5.0,212.59
Nashville,9443,223.4,158.0,735.23,83.12,33.0,249.82
New_Orleans,7444,488.05,132.0,3533.46,65.72,22.0,218.11
New_York,36111,680.53,154.0,4480.45,27.32,3.0,162.19
Oakland,2250,229.83,110.0,1816.03,57.01,15.0,197.75
Oregon,4425,526.36,110.0,4027.6,109.52,36.0,214.26
Paris,81853,,,,27.23,7.0,127.25
Rhode_Island,5762,869.7,274.0,4681.29,49.74,17.0,180.53
San_Francisco,7780,378.92,170.0,2440.02,52.7,7.0,189.69
Seattle,6996,571.72,149.0,4137.41,82.31,32.0,207.71
Washington_DC,6423,392.26,135.0,3126.67,68.63,21.0,216.01
